             t,             x,             y,             z,       particle
    7.499374218,   -16.95068932,    -17.6355668,    36.88042815,              8
    7.509386733,   -17.01917707,   -15.90309973,    38.56427998,              8
    7.519399249,   -16.90756934,   -13.90514054,    39.98288267,              8
    7.529411765,   -16.60732646,   -11.71314709,    41.07864308,              8
     7.53942428,   -16.11790852,   -9.412575814,    41.81113315,              8
    7.549436796,   -15.44737525,   -7.095180987,    42.16194887,              8
    7.559449312,   -14.61215582,   -4.850263067,    42.13693774,              8
    7.569461827,   -13.63596655,   -2.756292647,    41.76518729,              8
    7.579474343,   -12.54799916,  -0.8742983005,    41.09486358,              8
    7.589486859,   -11.38062907,   0.7559755255,    40.18671678,              8
    7.599499374,   -10.16696861,    2.116761904,    39.10658248,              8
     7.60951189,    -8.93859556,    3.210122701,    37.91832467,              8
    7.619524406,   -7.723723734,    4.053799408,     36.6783711,              8
    7.629536921,    -6.54597142,    4.676146544,    35.43243024,              8
    7.639549437,   -5.423759623,    5.111156229,    34.21438078,              8
    7.649561952,   -4.370268038,    5.394285456,    33.04688581,              8
    7.659574468,   -3.393812689,    5.559425077,    31.94308937,              8
    7.669586984,   -2.498488912,    5.637028957,    30.90877637,              8
    7.679599499,   -1.684937125,    5.653218812,    29.94452922,              8
    7.689612015,  -0.9511215316,    5.629597923,    29.04760182,              8
    7.699624531,  -0.2930495861,    5.583511916,    28.21339362,              8
    7.709637046,   0.2946065641,    5.528545359,     27.4365168,              8
    7.719649562,   0.8180004436,    5.475106003,    26.71150995,              8
    7.729662078,       1.283711,    5.431005161,     26.0332746,              8
    7.739674593,    1.698440416,    5.401985387,    25.39731072,              8
    7.749687109,    2.068794913,    5.392175036,    24.79981669,              8
    7.759699625,    2.401132925,    5.404466085,    24.23770423,              8
     7.76971214,    2.701466241,    5.440820358,    23.70856529,              8
    7.779724656,    2.975401653,    5.502512967,    23.21061567,              8
    7.789737171,    3.228112784,    5.590322547,    22.74263173,              8
    7.799749687,     3.46433376,    5.704677209,    22.30388966,              8
    7.809762203,    3.688368105,    5.845763892,    21.89411264,              8
    7.819774718,    3.904107684,    6.013607364,    21.51342816,              8
    7.829787234,    4.115057652,    6.208123859,    21.16233605,              8
     7.83979975,    4.324364273,    6.429153146,    20.84168653,              8
    7.849812265,     4.53484316,    6.676471911,    20.55266714,              8
    7.859824781,    4.749006035,    6.949790484,    20.29679695,              8
    7.869837297,     4.96908448,    7.248734368,    20.07592609,              8
    7.879849812,    5.197049469,    7.572811458,    19.89223867,              8
    7.889862328,    5.434625668,    7.921365515,    19.74825662,              8
    7.899874844,    5.683299652,    8.293516218,    19.64684189,              8
    7.909887359,    5.944321309,    8.688086045,    19.59119366,              8
    7.919899875,    6.218697783,    9.103514407,    19.58483699,              8
     7.92991239,    6.507179445,    9.537759831,      19.631598,              8
    7.939924906,    6.810237484,    9.988191719,    19.73556048,              8
    7.949937422,    7.128032907,     10.4514743,    19.90099722,              8
    7.959949937,    7.460377047,    10.92344697,     20.1322691,              8
    7.969962453,     7.80668404,    11.39900716,    20.43368384,              8
    7.979974969,    8.165916352,    11.87200453,    20.80930665,              8
    7.989987484,     8.53652517,    12.33515816,    21.26271565,              8
              8,    8.916388469,    12.78001142,    21.79669713,              8
              0,     2.35870167,   -12.89384743,    2.244892039,              9
  0.01001251564,   0.8334467602,   -12.07072077,    1.904292655,              9
  0.02002503129,  -0.4569699932,   -11.68846078,    1.763028491,              9
  0.03003754693,   -1.580119072,    -11.6918933,    1.768975918,              9
  0.04005006258,   -2.591296495,   -12.03353865,     1.89619869,              9
  0.05006257822,    -3.53552071,   -12.67560888,    2.136308285,              9
  0.06007509387,   -4.449529528,    -13.5892299,    2.493204644,              9
  0.07008760951,   -5.363499565,   -14.75238197,    2.980098433,              9
  0.08010012516,   -6.302387806,   -16.14719389,    3.617958374,              9
